;teacher_id;org_id;protocols;protocols_base;protocols_complicated;protocols_targeted;curators;teachers;prot_templates;pupils_mean;satisfaction;wish_to_change;interval_mean;interval_std;scope_m;pupils_m;pupils_d_mean;interactions_m;interactions_d_mean;attention_m;attention_d_mean;vector_interact_m;vector_intention_m;vector_attention_m;scope_m_diff;pupils_m_diff;pupils_d_mean_diff;interactions_m_diff;interactions_d_mean_diff;attention_m_diff;attention_d_diff;vector_interact_m_diff;vector_intention_m_diff;vector_attention_m_diff
52;566;84.0;22;5;11;6;1;1;17;7.18;2.83;2.5;7.0;8.0;0.99;0.47;0.36;0.56;0.35;0.47;0.36;-0.05;0.0;-0.05;-0.010000000000000009;-0.03999999999999998;0.02999999999999997;;;-0.03999999999999998;0.02999999999999997;;0.0;
53;569;85.0;16;7;5;4;1;1;15;8.31;3.57;2.29;11.0;10.0;0.87;0.54;0.4;0.71;0.37;0.59;0.4;-0.15;-0.04;-0.08;-0.10999999999999999;-0.08999999999999997;0.06;0.030000000000000027;0.040000000000000036;-0.040000000000000036;0.07;-0.21999999999999997;-0.039999999999999994;
54;570;85.0;16;7;5;4;1;1;15;9.69;3.29;2.71;12.0;11.0;0.8;0.62;0.39;0.79;0.31;0.66;0.34;-0.1;-0.04;-0.1;0.029999999999999916;-0.06000000000000005;0.07;-0.15000000000000002;0.18;-0.18999999999999995;0.13999999999999996;0.1;0.12000000000000001;
55;573;88.0;13;5;4;4;1;1;9;5.23;4.0;2.5;15.0;10.0;0.96;0.5;0.34;0.47;0.39;0.5;0.34;-0.04;-0.01;-0.04;-0.07999999999999996;0.13999999999999996;-0.09000000000000002;;;0.14999999999999997;-0.08000000000000002;;-0.01;
56;574;88.0;6;2;2;2;1;1;6;6.0;;;17.0;15.0;0.87;0.51;0.35;;;0.53;0.34;;-0.02;;;;;;;;;;;
57;576;88.0;8;3;2;3;1;1;7;4.5;3.25;1.75;24.0;22.0;0.91;0.3;0.24;0.37;0.22;0.33;0.23;-0.04;-0.03;0.01;0.12;-0.12;0.0;;;-0.15999999999999998;0.01999999999999999;;0.04;
58;577;88.0;8;3;2;3;1;1;7;4.62;3.25;3.0;24.0;21.0;1.0;0.45;0.31;0.69;0.34;0.45;0.31;-0.11;0.0;-0.11;0.0;-0.31;-0.09000000000000002;;;-0.31;-0.09000000000000002;;0.0;
59;580;87.0;17;8;5;4;1;1;11;8.94;2.71;3.14;11.0;5.0;0.9;0.36;0.31;0.3;0.28;0.37;0.3;-0.05;-0.01;-0.03;0.14;0.25;0.10000000000000003;0.21000000000000002;0.15000000000000002;0.23;0.08000000000000002;0.030000000000000002;0.01;0.009999999999999998
60;581;87.0;17;8;4;5;1;1;10;9.0;3.43;3.14;11.0;5.0;0.84;0.31;0.32;0.32;0.28;0.34;0.32;-0.05;-0.03;-0.03;-0.06999999999999995;0.15;0.10999999999999999;0.24;0.14;0.15000000000000002;0.10999999999999999;-0.009999999999999995;0.009999999999999998;-0.039999999999999994
61;585;92.0;12;5;4;3;1;1;9;8.5;3.75;2.5;16.0;13.0;0.9;0.58;0.37;0.6;0.38;0.57;0.36;-0.03;0.01;-0.03;-0.010000000000000009;0.030000000000000027;-0.010000000000000009;;;0.0;-0.010000000000000009;;0.02;
62;586;92.0;14;5;5;4;1;1;10;9.14;3.5;1.75;13.0;10.0;1.0;0.53;0.39;0.56;0.39;0.53;0.39;0.0;0.0;0.0;0.0;-0.040000000000000036;0.0;;;-0.040000000000000036;0.0;;0.0;
63;589;86.0;9;4;3;2;1;1;8;12.89;3.75;1.5;22.0;20.0;0.89;0.53;0.39;0.58;0.37;0.58;0.38;-0.02;-0.05;-0.03;0.13;0.05999999999999994;0.010000000000000009;;;0.010000000000000009;0.030000000000000027;;0.05;
64;590;86.0;10;4;5;1;1;1;7;11.7;3.8;1.2;19.0;16.0;0.85;0.49;0.38;0.64;0.35;0.53;0.38;-0.11;-0.04;-0.1;0.1499999999999999;0.010000000000000009;0.020000000000000018;;;0.010000000000000009;0.010000000000000009;;0.0;
65;592;86.0;8;3;4;1;1;1;8;11.25;3.75;1.75;19.0;10.0;0.96;0.47;0.35;0.51;0.34;0.48;0.35;-0.06;-0.01;-0.04;0.06000000000000005;-0.08000000000000002;-0.06;-0.30999999999999994;-0.13;-0.10000000000000003;-0.06;0.14;0.02;0.13
